Name,Abbreviation,Author,Doi,Link1,Link2,Abstract,Patients,Slides,Spots,Raw Missing Data,Processed Missing Data,MSE,,,,,,,,,,PCC,,,,,,,,,
,,,,,,,,,,,,ShuffleNet,STNet,EGN,EGGN,HisToGene,ViT-B,ViT-B+&#916,SEPAL,BLEEP,Hist2ST,ShuffleNet,STNet,EGN,EGGN,HisToGene,ViT-B,ViT-B+&#916,SEPAL,BLEEP,Hist2ST
Vicari Mouse Brain,VMB,Vicari et al.,https://doi.org/10.1101/2023.01.26.525195,https://figshare.scilifelab.se/articles/dataset/Spatial_Multimodal_Analysis_SMA_-_Spatial_Transcriptomics/22778920,-,"Formalin-fixed paraffin embedding (FFPE) is the most widespread long-term tissue preservation approach. Here, we report a procedure to perform genome-wide spatial analysis of mRNA in FFPE-fixed tissue sections, using well-established, commercially available methods for imaging and spatial barcoding using slides spotted with barcoded oligo(dT) probes to capture the 3′ end of mRNA molecules in tissue sections. We applied this method for expression profiling and cell type mapping in coronal sections from the mouse brain to demonstrate the method’s capability to delineate anatomical regions from a molecular perspective. We also profiled the spatial composition of transcriptomic signatures in two ovarian carcinosarcoma samples, exemplifying the method’s potential to elucidate molecular mechanisms in heterogeneous clinical samples. Finally, we demonstrate the applicability of the assay to characterize human lung and kidney organoids and a human lung biopsy specimen infected with SARS-CoV-2. We anticipate that genome-wide spatial gene expression profiling in FFPE biospecimens will be used for retrospective analysis of biobank samples, which will facilitate longitudinal studies of biological processes and biomarker discovery.",4,14,43804,89%,28%,1.093,1.113,1.159,1.194,-,1.137,1.172,1.109,1.526,-,0.1042,0.2503,0.1941,0.1883,-,0.02906,0.2212,0.216,0.158,-
Mirzazadeh Mouse Brain,MMBR,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,https://data.mendeley.com/datasets/442mhsrpcm/1,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",2,8,34583,79%,20%,0.9674,0.9399,0.9203,0.9171,0.9281,0.9341,0.9151,0.9499,1.722,-,0.1158,0.1637,0.102,0.105,0.0779,0.131,0.08272,0.07908,0.018,-
Mirzazadeh Human Prostate Cancer,MHPC,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",2,4,15684,79%,21%,1.404,1.346,1.197,0.9647,2.004,1.101,1.064,0.9893,2.106,-,0.112,0.344,0.346,0.4668,0.0766,0.422,0.4471,0.4829,-0.065,-
Parigi Mouse Intestine,PMI,Parigi et al.,https://doi.org/10.1038/s41467-022-28497-0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169749,-,"The intestinal barrier is composed of a complex cell network defining highly compartmentalized and specialized structures. Here, we use spatial transcriptomics to define how the transcriptomic landscape is spatially organized in the steady state and healing murine colon. At steady state conditions, we demonstrate a previously unappreciated molecular regionalization of the colon, which dramatically changes during mucosal healing. Here, we identified spatially-organized transcriptional programs defining compartmentalized mucosal healing, and regions with dominant wired pathways. Furthermore, we showed that decreased p53 activation defined areas with increased presence of proliferating epithelial stem cells. Finally, we mapped transcriptomics modules associated with human diseases demonstrating the translational potential of our dataset. Overall, we provide a publicly available resource defining principles of transcriptomic regionalization of the colon during mucosal healing and a framework to develop and progress further hypotheses.",2,2,6234,79%,7%,0.1684,0.1734,0.1731,0.1882,0.6796,0.17,0.1713,0.1713,0.201,-,0.3588,0.3943,0.3585,0.2479,0.05871,0.3621,0.3809,0.3911,0.323,-
Villacampa mouse brain,VLMB,Villacampa et al.,https://doi.org/10.1016/j.xgen.2021.100067,https://data.mendeley.com/datasets/xjtv62ncwr/3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185717,"Formalin-fixed paraffin embedding (FFPE) is the most widespread long-term tissue preservation approach. Here, we report a procedure to perform genome-wide spatial analysis of mRNA in FFPE-fixed tissue sections, using well-established, commercially available methods for imaging and spatial barcoding using slides spotted with barcoded oligo(dT) probes to capture the 3′ end of mRNA molecules in tissue sections. We applied this method for expression profiling and cell type mapping in coronal sections from the mouse brain to demonstrate the method’s capability to delineate anatomical regions from a molecular perspective. We also profiled the spatial composition of transcriptomic signatures in two ovarian carcinosarcoma samples, exemplifying the method’s potential to elucidate molecular mechanisms in heterogeneous clinical samples. Finally, we demonstrate the applicability of the assay to characterize human lung and kidney organoids and a human lung biopsy specimen infected with SARS-CoV-2. We anticipate that genome-wide spatial gene expression profiling in FFPE biospecimens will be used for retrospective analysis of biobank samples, which will facilitate longitudinal studies of biological processes and biomarker discovery.",2,5,12202,95%,29%,1.101,1.229,1.112,1.073,1.103,1.111,1.114,1.15,1.64,-,0.1084,0.1431,0.2227,0.2433,0.2326,0.2115,0.2582,0.2483,0.141,-
Mirzazadeh human Small Intestine,MHSI,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,https://data.mendeley.com/datasets/442mhsrpcm/1,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",2,4,10474,92%,21%,4.904,6.052,4.654,4.126,24.796,7.535,4.059,4.273,6.678,-,0.2595,0.2588,0.2685,0.3142,0.1502,0.1907,0.3427,0.3601,0.156,-
Mirzazadeh Human Colon P2,MHCP2,Mirzazadeh et al.,https://doi.org/10.1038/s41467-023-36071-5,https://data.mendeley.com/datasets/4w6krnywhn/1,-,"Spatially resolved transcriptomics has enabled precise genome-wide mRNA expression profiling within tissue sections. The performance of methods targeting the polyA tails of mRNA relies on the availability of specimens with high RNA quality. Moreover, the high cost of currently available spatial resolved transcriptomics assays requires a careful sample screening process to increase the chance of obtaining high-quality data. Indeed, the upfront analysis of RNA quality can show considerable variability due to sample handling, storage, and/or intrinsic factors. We present RNA-Rescue Spatial Transcriptomics (RRST), a workflow designed to improve mRNA recovery from fresh frozen specimens with moderate to low RNA quality. First, we provide a benchmark of RRST against the standard Visium spatial gene expression protocol on high RNA quality samples represented by mouse brain and prostate cancer samples. Then, we test the RRST protocol on tissue sections collected from five challenging tissue types, including human lung, colon, small intestine, pediatric brain tumor, and mouse bone/cartilage. In total, we analyze 52 tissue sections and demonstrate that RRST is a versatile, powerful, and reproducible protocol for fresh frozen specimens of different qualities and origins.",2,2,7101,97%,24%,0.8621,0.8628,0.9685,0.8483,2.13,0.9115,0.8756,0.8816,1.192,-,0.421,0.3409,0.3277,0.4947,0.02523,0.3548,0.4629,0.4508,0.311,-
Erickson Human Prostate Cancer P2,EHPCP2,Erickson et al.,https://doi.org/10.1038/s41586-022-05023-2,https://data.mendeley.com/datasets/svw96g68dv/4,-,"Defining the transition from benign to malignant tissue is fundamental to improving early diagnosis of cancer. Here we use a systematic approach to study spatial genome integrity in situ and describe previously unidentified clonal relationships. We used spatially resolved transcriptomics to infer spatial copy number variations in >120,000 regions across multiple organs, in benign and malignant tissues. We demonstrate that genome-wide copy number variation reveals distinct clonal patterns within tumours and in nearby benign tissue using an organ-wide approach focused on the prostate. Our results suggest a model for how genomic instability arises in histologically benign tissue that may represent early events in cancer evolution. We highlight the power of capturing the molecular and spatial continuums in a tissue context and challenge the rationale for treatment paradigms, including focal therapy.",1,10,24465,92%,37%,0.7327,0.6995,0.7167,0.7516,1.13,0.7071,0.695,0.6984,1.531,-,0.2071,0.2751,0.2378,0.1818,0.03359,0.2524,0.2782,0.285,0.124,-
Erickson Human Prostate Cancer P1,EHPCP1,Erickson et al.,https://doi.org/10.1038/s41586-022-05023-2,https://data.mendeley.com/datasets/svw96g68dv/4,-,"Defining the transition from benign to malignant tissue is fundamental to improving early diagnosis of cancer. Here we use a systematic approach to study spatial genome integrity in situ and describe previously unidentified clonal relationships. We used spatially resolved transcriptomics to infer spatial copy number variations in >120,000 regions across multiple organs, in benign and malignant tissues. We demonstrate that genome-wide copy number variation reveals distinct clonal patterns within tumours and in nearby benign tissue using an organ-wide approach focused on the prostate. Our results suggest a model for how genomic instability arises in histologically benign tissue that may represent early events in cancer evolution. We highlight the power of capturing the molecular and spatial continuums in a tissue context and challenge the rationale for treatment paradigms, including focal therapy.",1,7,20987,92%,34%,1.088,1.158,1.061,1.155,1.129,1.154,1.132,1.13,1.339,-,0.191,0.2269,0.2492,0.05811,0.02116,-0.09978,0.08102,0.08064,0.142,-
