gene	mean	median	longest_isoform	merged
ENSMUSG00000102693.2	1070	1070	1070	1070
ENSMUSG00000064842.3	110	110	110	110
ENSMUSG00000051951.6	3634	3634	3634	3634
ENSMUSG00000102851.2	480	480	480	480
ENSMUSG00000103377.2	2819	2819	2819	2819
ENSMUSG00000104017.2	2233	2233	2233	2233
ENSMUSG00000103025.2	2309	2309	2309	2309
ENSMUSG00000089699.2	250	250	250	250
ENSMUSG00000103201.2	2057	2057	2057	2057
ENSMUSG00000103147.2	926	926	926	926
ENSMUSG00000103161.2	3012	3012	3012	3012
ENSMUSG00000102331.2	3259	3259	3259	3259
ENSMUSG00000102348.2	1634	1634	1634	1634
ENSMUSG00000102592.2	2351	2351	2351	2351
ENSMUSG00000088333.4	58	58	58	58
ENSMUSG00000102343.2	778	778	899	1364
ENSMUSG00000025900.14	5519	5519	6869	10231
ENSMUSG00000102948.2	1867	1867	1867	1867
ENSMUSG00000104123.2	1484	1484	1484	1484
ENSMUSG00000025902.14	2464	2552	3242	4096
ENSMUSG00000104238.2	475	475	475	475
ENSMUSG00000102269.2	2991	2991	2991	2991
ENSMUSG00000118917.1	107	107	107	107
ENSMUSG00000103003.2	450	450	450	450
ENSMUSG00000104328.2	2773	2773	2773	2773
ENSMUSG00000102735.2	936	936	936	936
ENSMUSG00000098104.2	1470	1470	1470	1470
ENSMUSG00000102175.2	1206	1206	1206	1206
ENSMUSG00002075947.1	103	103	103	103
ENSMUSG00000103265.2	631	631	631	631
ENSMUSG00000103922.2	1069	1069	1069	1069
ENSMUSG00000033845.14	2555	1894	4203	5289
ENSMUSG00000102275.2	1150	1150	1150	1150
ENSMUSG00000120403.1	1370	1370	1370	1370
ENSMUSG00000025903.15	1210	903	2507	2661
ENSMUSG00000104217.2	825	825	825	825
ENSMUSG00000033813.16	2700	2700	2854	3017
ENSMUSG00000062588.5	603	603	603	603
ENSMUSG00000103280.2	1111	1111	1111	1111
ENSMUSG00000002459.18	1595	1778	2125	2514
ENSMUSG00000091305.2	272	272	272	272
ENSMUSG00000102653.2	2135	2135	2135	2135
ENSMUSG00000085623.2	3725	3725	3725	3725
ENSMUSG00000091665.2	1588	1588	1588	1588
ENSMUSG00000033793.13	1840	1811	2049	2176
ENSMUSG00000104352.2	732	732	732	732
ENSMUSG00000104046.2	2279	2279	2279	2279
ENSMUSG00000102907.2	2032	2032	2032	2032
ENSMUSG00000025905.15	3301	3578	4675	4769
ENSMUSG00000103936.2	394	394	394	394
ENSMUSG00002076544.1	101	101	101	101
ENSMUSG00000103519.2	1799	1799	1799	1799
ENSMUSG00000033774.5	3692	3692	3692	3692
ENSMUSG00000103090.2	1083	1083	1083	1083
ENSMUSG00000090031.4	2377	1290	5428	6585
ENSMUSG00000025907.15	7607	7607	7607	7607
ENSMUSG00000087247.4	971	971	971	971
ENSMUSG00000103355.2	639	639	639	639
ENSMUSG00000102706.2	473	473	473	473
ENSMUSG00000103845.2	4530	4530	4530	4530
ENSMUSG00000033740.18	5145	5662	5892	6166
ENSMUSG00000103329.3	2915	2915	2915	2915
ENSMUSG00000104385.2	663	663	663	663
ENSMUSG00000102135.2	626	626	626	626
ENSMUSG00000103282.2	30	30	30	30
ENSMUSG00000102534.2	325	325	325	325
ENSMUSG00000102213.2	159	159	159	159
ENSMUSG00000103629.2	641	641	641	641
ENSMUSG00000120372.1	602	602	602	602
ENSMUSG00000051285.18	5232	5232	5232	5232
ENSMUSG00000098201.2	388	388	388	388
ENSMUSG00000103509.2	4028	4028	4028	4028
ENSMUSG00000048538.8	1299	1299	1299	1299
ENSMUSG00000103709.2	178	178	178	178
ENSMUSG00000077244.3	130	130	130	130
ENSMUSG00000102768.2	1012	1012	1012	1012
ENSMUSG00000097797.7	693	631	1193	1742
ENSMUSG00000103498.2	1124	1124	1124	1124
ENSMUSG00000103067.2	2596	2596	2596	2596
ENSMUSG00000102320.2	286	286	286	286
ENSMUSG00000104226.2	2095	2095	2095	2095
